1 c.name;2 surname;3 c.ak;4 c.birthdate;5 p.name;6 p.ak;7 p.email;8 p.phone;9 k.name;10 k.code;11 k.phone;12 k.email;13 k.account;14 k.address;15 p.address;16 k.bankName;17 k.bankCode
Almanė;Miliuševičaitė;61910150929;2019-10-15;Stefanija;49810150929;user95@user.lt;+37060000095;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 95, Vilnius";Pinigų Pieninė;PNGPNN66
Saugė;Andrešūniūtė;61910150962;2019-10-15;Chonija;49810150962;user96@user.lt;+37060000096;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 96, Vilnius";Pinigų Pieninė;PNGPNN66
Jolanta;Berkaitė;61910150907;2019-10-15;Algimantė;49810150907;user97@user.lt;+37060000097;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 97, Vilnius";Pinigų Pieninė;PNGPNN66
Samuela;Ciganaitytė;61910150918;2019-10-15;Domnikija;49810150918;user98@user.lt;+37060000098;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 98, Vilnius";Pinigų Pieninė;PNGPNN66
Milgintė;Čeilydkytė;61910150973;2019-10-15;Vingėla;49810150973;user99@user.lt;+37060000099;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 99, Vilnius";Pinigų Pieninė;PNGPNN66
Alfonsas;Atroška;51911151066;2019-11-15;Pijus;38811151066;user100@user.lt;+37060000100;Baseinėlis;123000020;861000020;darzelis20@darzelis.lt;LT000000000000000020;"Ilgiausia g. 220, Vilnius";"Ilgiausia g. 100, Vilnius";Pinigų Pieninė;PNGPNN66
Vytalijus;Jankaitis;51911151048;2019-11-15;Eigimantas;38811151048;user101@user.lt;+37060000101;Blizgutis;123000001;861000001;darzelis1@darzelis.lt;LT000000000000000001;"Ilgiausia g. 201, Vilnius";"Ilgiausia g. 101, Vilnius";Pinigų Pieninė;PNGPNN66
Galminas;Skaldinas;51911151037;2019-11-15;Laurent;38811151037;user102@user.lt;+37060000102;Dudutis;123000002;861000002;darzelis2@darzelis.lt;LT000000000000000002;"Ilgiausia g. 202, Vilnius";"Ilgiausia g. 102, Vilnius";Pinigų Pieninė;PNGPNN66
Lauris;Makauskas;51911151026;2019-11-15;Einius;38811151026;user103@user.lt;+37060000103;Makalai;123000003;861000003;darzelis3@darzelis.lt;LT000000000000000003;"Ilgiausia g. 203, Vilnius";"Ilgiausia g. 103, Vilnius";Pinigų Pieninė;PNGPNN66
Radulfas;Strepeika;51911151004;2019-11-15;Genis;38811151004;user104@user.lt;+37060000104;Bim-Bam;123000004;861000004;darzelis4@darzelis.lt;LT000000000000000004;"Ilgiausia g. 204, Vilnius";"Ilgiausia g. 104, Vilnius";Pinigų Pieninė;PNGPNN66
Trifonas;Jaselionis;51911151015;2019-11-15;Vygis;38811151015;user105@user.lt;+37060000105;Batukai;123000005;861000005;darzelis5@darzelis.lt;LT000000000000000005;"Ilgiausia g. 205, Vilnius";"Ilgiausia g. 105, Vilnius";Pinigų Pieninė;PNGPNN66
Gedeiminas;Voičešonokas;51911151081;2019-11-15;Rimbertas;38811151081;user106@user.lt;+37060000106;Gėlynėlis;123000006;861000006;darzelis6@darzelis.lt;LT000000000000000006;"Ilgiausia g. 206, Vilnius";"Ilgiausia g. 106, Vilnius";Pinigų Pieninė;PNGPNN66
Geitvydas;Nikolskis;51911151059;2019-11-15;Augminas;38811151059;user107@user.lt;+37060000107;Ąžuolėlis;123000007;861000007;darzelis7@darzelis.lt;LT000000000000000007;"Ilgiausia g. 207, Vilnius";"Ilgiausia g. 107, Vilnius";Pinigų Pieninė;PNGPNN66
Mečius;Baltrimas;51911151092;2019-11-15;Emis;38811151092;user108@user.lt;+37060000108;Trys Liepaitės;123000008;861000008;darzelis8@darzelis.lt;LT000000000000000008;"Ilgiausia g. 208, Vilnius";"Ilgiausia g. 108, Vilnius";Pinigų Pieninė;PNGPNN66
Eivis;Bautaitis;51911151070;2019-11-15;Viktoras;38811151070;user109@user.lt;+37060000109;Du batukai;123000009;861000009;darzelis9@darzelis.lt;LT000000000000000009;"Ilgiausia g. 209, Vilnius";"Ilgiausia g. 109, Vilnius";Pinigų Pieninė;PNGPNN66
Zene;Macinavičaitė;61912151119;2019-12-15;Ida;49812151119;user110@user.lt;+37060000110;Trepselis;123000010;861000010;darzelis10@darzelis.lt;LT000000000000000010;"Ilgiausia g. 210, Vilnius";"Ilgiausia g. 110, Vilnius";Pinigų Pieninė;PNGPNN66
Laisvida;Kalickytė;61912151196;2019-12-15;Chabronija;49812151196;user111@user.lt;+37060000111;Dūdutis;123000011;861000011;darzelis11@darzelis.lt;LT000000000000000011;"Ilgiausia g. 211, Vilnius";"Ilgiausia g. 111, Vilnius";Pinigų Pieninė;PNGPNN66
Janislava;Kurpavičytė;61912151185;2019-12-15;Ksavera;49812151185;user112@user.lt;+37060000112;Trupinėlis;123000012;861000012;darzelis12@darzelis.lt;LT000000000000000012;"Ilgiausia g. 212, Vilnius";"Ilgiausia g. 112, Vilnius";Pinigų Pieninė;PNGPNN66
Verdženija;Muntrimaitė;61912151163;2019-12-15;Ala;49812151163;user113@user.lt;+37060000113;Skuduriukas;123000013;861000013;darzelis13@darzelis.lt;LT000000000000000013;"Ilgiausia g. 213, Vilnius";"Ilgiausia g. 113, Vilnius";Pinigų Pieninė;PNGPNN66
Bytautė;Šmeigauskaitė;61912151130;2019-12-15;Birutėlė;49812151130;user114@user.lt;+37060000114;Languotukas;123000014;861000014;darzelis14@darzelis.lt;LT000000000000000014;"Ilgiausia g. 214, Vilnius";"Ilgiausia g. 114, Vilnius";Pinigų Pieninė;PNGPNN66
Tolminė;Grakovičaitė;61912151108;2019-12-15;Juozapė;49812151108;user115@user.lt;+37060000115;Šurum-burum;123000015;861000015;darzelis15@darzelis.lt;LT000000000000000015;"Ilgiausia g. 215, Vilnius";"Ilgiausia g. 115, Vilnius";Pinigų Pieninė;PNGPNN66
Uljanija;Paresčiūtė;61912151141;2019-12-15;Norgilė;49812151141;user116@user.lt;+37060000116;Aguonų laukas;123000016;861000016;darzelis16@darzelis.lt;LT000000000000000016;"Ilgiausia g. 216, Vilnius";"Ilgiausia g. 116, Vilnius";Pinigų Pieninė;PNGPNN66
Oktavija;Tumiūtė;61912151126;2019-12-15;Virgailė;49812151126;user117@user.lt;+37060000117;Vienaragis;123000017;861000017;darzelis17@darzelis.lt;LT000000000000000017;"Ilgiausia g. 217, Vilnius";"Ilgiausia g. 117, Vilnius";Pinigų Pieninė;PNGPNN66
Jurgė;Brunytė;61912151174;2019-12-15;Alvida;49812151174;user118@user.lt;+37060000118;Paršelis;123000018;861000018;darzelis18@darzelis.lt;LT000000000000000018;"Ilgiausia g. 218, Vilnius";"Ilgiausia g. 118, Vilnius";Pinigų Pieninė;PNGPNN66
Rufina;Kubaitė;61912151152;2019-12-15;Erna;49812151152;user119@user.lt;+37060000119;Puškutis;123000019;861000019;darzelis19@darzelis.lt;LT000000000000000019;"Ilgiausia g. 219, Vilnius";"Ilgiausia g. 119, Vilnius";Pinigų Pieninė;PNGPNN66
