0 c.name;1 surname;2 c.ak;3  c.birthdate;4 p.name;5 p.ak;6 p.email;7 p.phone;8 a.surname;9 a.name;10 a.ak;11 a.phone;12 a.email;13 a.address;14 kc.1;15 kc.2;16 kc.3;17 kc.4;18 kc.5;19 v.1;20 v.2;21 v.3;22 v.4;23 v.5;24 v.6
Radulfas;Strepeika;51911151004;2019-11-15;Genis;38811151004;user104@user.lt;+37060000104;Strepeika;Verdženija;38811151004;862000104;parent104@parent.lt;"Ilgiausia g. 104, Vilnius";303318623;190020391;190019122;190032931;190012334;true;true;true;true;false;true
Trifonas;Jaselionis;51911151015;2019-11-15;Vygis;38811151015;user105@user.lt;+37060000105;Jaselionė;Bytautė;38811151015;862000105;parent105@parent.lt;"Ilgiausia g. 105, Vilnius";190020434;303318623;190020391;190019122;190032931;true;false;true;true;false;true
Gedeiminas;Voičešonokas;51911151081;2019-11-15;Rimbertas;38811151081;user106@user.lt;+37060000106;Voičešonoka;Tolminė;38811151081;862000106;parent106@parent.lt;"Ilgiausia g. 106, Vilnius";190026120;190020434;303318623;190020391;190019122;true;false;false;false;true;false
Geitvydas;Nikolskis;51911151059;2019-11-15;Augminas;38811151059;user107@user.lt;+37060000107;Nikolskė;Uljanija;38811151059;862000107;parent107@parent.lt;"Ilgiausia g. 107, Vilnius";190019275;190026120;190020434;303318623;190020391;true;true;false;true;true;false
Mečius;Baltrimas;51911151092;2019-11-15;Emis;38811151092;user108@user.lt;+37060000108;Baltrimė;Oktavija;38811151092;862000108;parent108@parent.lt;"Ilgiausia g. 108, Vilnius";190031797;190019275;190026120;190020434;303318623;true;true;true;false;true;false
Eivis;Bautaitis;51911151070;2019-11-15;Viktoras;38811151070;user109@user.lt;+37060000109;Baitaitė;Jurgė;38811151070;862000109;parent109@parent.lt;"Ilgiausia g. 109, Vilnius";190021721;190031797;190019275;190026120;190020434;false;true;false;true;false;true
Zene;Macinavičaitė;61912151119;2019-12-15;Ida;49812151119;user110@user.lt;+37060000110;Macinavičius;Rufina;49812151119;862000110;parent110@parent.lt;"Ilgiausia g. 110, Vilnius";190015444;190021721;190031797;190019275;190026120;true;false;false;false;true;false
Laisvida;Kalickytė;61912151196;2019-12-15;Chabronija;49812151196;user111@user.lt;+37060000111;Kalicka;Tadas;49812151196;862000111;parent111@parent.lt;"Ilgiausia g. 111, Vilnius";191727213;190015444;190021721;190031797;190019275;false;false;false;false;true;true
Janislava;Kurpavičytė;61912151185;2019-12-15;Ksavera;49812151185;user112@user.lt;+37060000112;Kurpavičius;Rimvydas;49812151185;862000112;parent112@parent.lt;"Ilgiausia g. 112, Vilnius";190027037;191727213;190015444;190021721;190031797;false;true;false;false;false;false
Verdženija;Muntrimaitė;61912151163;2019-12-15;Ala;49812151163;user113@user.lt;+37060000113;Muntrimas;Arvydas;49812151163;862000113;parent113@parent.lt;"Ilgiausia g. 113, Vilnius";190018935;190027037;191727213;190015444;190021721;false;false;false;true;false;true
Bytautė;Šmeigauskaitė;61912151130;2019-12-15;Birutėlė;49812151130;user114@user.lt;+37060000114;Šmeigauskas;Mantas;49812151130;862000114;parent114@parent.lt;"Ilgiausia g. 114, Vilnius";190017071;190018935;190027037;191727213;190015444;true;false;false;false;false;true
Tolminė;Grakovičaitė;61912151108;2019-12-15;Juozapė;49812151108;user115@user.lt;+37060000115;Grakovičius;Vidmantas;49812151108;862000115;parent115@parent.lt;"Ilgiausia g. 115, Vilnius";190014723;190017071;190018935;190027037;191727213;false;true;false;false;true;true
Uljanija;Paresčiūtė;61912151141;2019-12-15;Norgilė;49812151141;user116@user.lt;+37060000116;Paresčius;Aurimas;49812151141;862000116;parent116@parent.lt;"Ilgiausia g. 116, Vilnius";190019994;190014723;190017071;190018935;190027037;true;true;false;true;false;false
Oktavija;Tumiūtė;61912151126;2019-12-15;Virgailė;49812151126;user117@user.lt;+37060000117;Tumius;Rimgaudas;49812151126;862000117;parent117@parent.lt;"Ilgiausia g. 117, Vilnius";190033271;190019994;190014723;190017071;190018935;true;false;true;false;true;true
Jurgė;Brunytė;61912151174;2019-12-15;Alvida;49812151174;user118@user.lt;+37060000118;Brunius;Jogirdas;49812151174;862000118;parent118@parent.lt;"Ilgiausia g. 118, Vilnius";190033129;190033271;190019994;190014723;190017071;false;true;false;true;true;false
Rufina;Kubaitė;61912151152;2019-12-15;Erna;49812151152;user119@user.lt;+37060000119;Kubaitis;Vicius;49812151152;862000119;parent119@parent.lt;"Ilgiausia g. 119, Vilnius";290031830;190033129;190033271;190019994;190014723;true;true;false;true;true;false
